full_name,owner,name,stars,forks,language,pr_count,url
asLody/VirtualApp,asLody,VirtualApp,10962,3020,Java,182,https://github.com/asLody/VirtualApp
square/javapoet,square,javapoet,10856,1387,Java,533,https://github.com/square/javapoet
JingMatrix/Vector,JingMatrix,Vector,10839,690,Java,241,https://github.com/JingMatrix/Vector
aosp-mirror/platform_frameworks_base,aosp-mirror,platform_frameworks_base,10820,6480,Java,116,https://github.com/aosp-mirror/platform_frameworks_base
TooTallNate/Java-WebSocket,TooTallNate,Java-WebSocket,10800,2591,Java,399,https://github.com/TooTallNate/Java-WebSocket
zfile-dev/zfile,zfile-dev,zfile,10734,1959,Java,107,https://github.com/zfile-dev/zfile
resilience4j/resilience4j,resilience4j,resilience4j,10641,1454,Java,1000,https://github.com/resilience4j/resilience4j
android-async-http/android-async-http,android-async-http,android-async-http,10599,4047,Java,286,https://github.com/android-async-http/android-async-http
google/auto,google,auto,10554,1211,Java,1000,https://github.com/google/auto
Activiti/Activiti,Activiti,Activiti,10528,6935,Java,1000,https://github.com/Activiti/Activiti
signalapp/Signal-Server,signalapp,Signal-Server,10505,2448,Java,112,https://github.com/signalapp/Signal-Server
SonarSource/sonarqube,SonarSource,sonarqube,10468,2179,Java,1000,https://github.com/SonarSource/sonarqube
awsdocs/aws-doc-sdk-examples,awsdocs,aws-doc-sdk-examples,10395,5843,Java,1000,https://github.com/awsdocs/aws-doc-sdk-examples
ZCShou/GoGoGo,ZCShou,GoGoGo,10305,1172,Java,203,https://github.com/ZCShou/GoGoGo
stanfordnlp/CoreNLP,stanfordnlp,CoreNLP,10067,2718,Java,299,https://github.com/stanfordnlp/CoreNLP
googlesamples/easypermissions,googlesamples,easypermissions,9889,1462,Java,114,https://github.com/googlesamples/easypermissions
OpenFeign/feign,OpenFeign,feign,9784,1938,Java,1000,https://github.com/OpenFeign/feign
flyway/flyway,flyway,flyway,9717,1607,Java,591,https://github.com/flyway/flyway
spinnaker/spinnaker,spinnaker,spinnaker,9714,1263,Java,1000,https://github.com/spinnaker/spinnaker
apache/cassandra,apache,cassandra,9711,3861,Java,1000,https://github.com/apache/cassandra
AutoMQ/automq,AutoMQ,automq,9707,689,Java,1000,https://github.com/AutoMQ/automq
perwendel/spark,perwendel,spark,9662,1573,Java,471,https://github.com/perwendel/spark
koral--/android-gif-drawable,koral--,android-gif-drawable,9648,1788,Java,152,https://github.com/koral--/android-gif-drawable
react-native-camera/react-native-camera,react-native-camera,react-native-camera,9641,3533,Java,1000,https://github.com/react-native-camera/react-native-camera
MyCATApache/Mycat-Server,MyCATApache,Mycat-Server,9539,3821,Java,1000,https://github.com/MyCATApache/Mycat-Server
spring-projects/spring-security,spring-projects,spring-security,9496,6257,Java,1000,https://github.com/spring-projects/spring-security
umano/AndroidSlidingUpPanel,umano,AndroidSlidingUpPanel,9470,2241,Java,137,https://github.com/umano/AndroidSlidingUpPanel
json-path/JsonPath,json-path,JsonPath,9406,1713,Java,317,https://github.com/json-path/JsonPath
pockethub/PocketHub,pockethub,PocketHub,9373,3418,Java,626,https://github.com/pockethub/PocketHub
alibaba/spring-ai-alibaba,alibaba,spring-ai-alibaba,9359,2077,Java,1000,https://github.com/alibaba/spring-ai-alibaba
apache/jmeter,apache,jmeter,9352,2277,Java,1000,https://github.com/apache/jmeter
android/testing-samples,android,testing-samples,9291,3644,Java,238,https://github.com/android/testing-samples
apache/seatunnel,apache,seatunnel,9275,2218,Java,1000,https://github.com/apache/seatunnel
flowable/flowable-engine,flowable,flowable-engine,9214,2831,Java,1000,https://github.com/flowable/flowable-engine
