nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,Stable Diffusion web UI,Python,161505,30118,2022-08-22T14:05:26Z,2026-03-05T21:30:01Z,1291,0,1884,27,0,5486,5486,1.0,0,https://github.com/AUTOMATIC1111/stable-diffusion-webui
jlevy/the-art-of-command-line,jlevy,"Master the command line, in one page",Unknown,160076,14769,2015-05-20T15:11:03Z,2026-03-05T22:34:28Z,3942,0,317,0,0,136,136,1.0,0,https://github.com/jlevy/the-art-of-command-line
huggingface/transformers,huggingface,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,157448,32302,2018-10-29T13:56:00Z,2026-03-05T22:52:30Z,2684,0,18736,244,0,17588,17588,1.0,0,https://github.com/huggingface/transformers
Snailclimb/JavaGuide,Snailclimb,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发与系统设计。准备后端技术面试，首选 JavaGuide！,Java,154053,46126,2018-05-07T13:27:00Z,2026-03-05T20:14:31Z,2859,0,1213,0,0,1056,1056,1.0,0,https://github.com/Snailclimb/JavaGuide
DigitalPlatDev/FreeDomain,DigitalPlatDev,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,150832,2606,2024-05-30T13:23:00Z,2026-03-05T22:48:34Z,644,0,1,0,0,0,0,0.0,0,https://github.com/DigitalPlatDev/FreeDomain
f/prompts.chat,f,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,150177,19735,2022-12-05T13:54:13Z,2026-03-05T22:56:13Z,1186,0,200,0,0,128,128,1.0,0,https://github.com/f/prompts.chat
yt-dlp/yt-dlp,yt-dlp,A feature-rich command-line audio/video downloader,Python,149758,12123,2020-10-26T04:22:55Z,2026-03-05T22:57:02Z,1956,0,3229,131,0,9304,9304,1.0,0,https://github.com/yt-dlp/yt-dlp
airbnb/javascript,airbnb,JavaScript Style Guide,JavaScript,148094,26774,2012-11-01T23:13:50Z,2026-03-05T22:39:59Z,4871,0,813,0,0,1299,1299,1.0,0,https://github.com/airbnb/javascript
langflow-ai/langflow,langflow-ai,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,145279,8516,2023-02-08T22:28:03Z,2026-03-05T22:42:40Z,1121,0,5792,285,0,2819,2819,1.0,0,https://github.com/langflow-ai/langflow
521xueweihan/HelloGitHub,521xueweihan,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,144891,11170,2016-05-04T06:24:11Z,2026-03-05T22:34:33Z,3592,0,17,63,0,2681,2681,1.0,0,https://github.com/521xueweihan/HelloGitHub
ytdl-org/youtube-dl,ytdl-org,Command-line program to download videos from YouTube.com and other video sites,Python,139799,10602,2010-10-31T14:35:07Z,2026-03-05T21:13:14Z,5604,0,1646,341,0,23190,23190,1.0,0,https://github.com/ytdl-org/youtube-dl
vercel/next.js,vercel,The React Framework,JavaScript,138166,30556,2016-10-05T23:32:51Z,2026-03-05T22:15:52Z,3437,0,26138,1000,0,22258,22258,1.0,0,https://github.com/vercel/next.js
yangshun/tech-interview-handbook,yangshun,Curated coding interview preparation materials for busy software engineers,TypeScript,138000,16471,2016-07-05T05:00:48Z,2026-03-05T22:04:33Z,3530,0,486,0,0,76,76,1.0,0,https://github.com/yangshun/tech-interview-handbook
Genymobile/scrcpy,Genymobile,Display and control your Android device,C,136534,12715,2017-11-21T18:00:27Z,2026-03-05T22:45:31Z,3026,0,123,50,0,3285,3285,1.0,0,https://github.com/Genymobile/scrcpy
labuladong/fucking-algorithm,labuladong,"Crack LeetCode, not only how, but also why. ",Markdown,132919,23713,2020-02-19T09:01:23Z,2026-03-05T21:30:00Z,2206,0,244,0,0,962,962,1.0,0,https://github.com/labuladong/fucking-algorithm
golang/go,golang,The Go programming language,Go,132900,18841,2014-08-19T04:33:40Z,2026-03-05T22:43:58Z,4216,0,1,0,0,60969,60969,1.0,0,https://github.com/golang/go
langgenius/dify,langgenius,Production-ready platform for agentic workflow development.,TypeScript,131337,20451,2023-04-12T07:40:24Z,2026-03-05T22:46:12Z,1058,0,9716,158,0,16332,16332,1.0,0,https://github.com/langgenius/dify
microsoft/PowerToys,microsoft,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C#,130244,7748,2019-05-01T17:44:02Z,2026-03-05T22:35:51Z,2500,0,6349,127,0,30147,30147,1.0,0,https://github.com/microsoft/PowerToys
langchain-ai/langchain,langchain-ai,The agent engineering platform,Python,128370,21083,2022-10-17T02:58:36Z,2026-03-05T22:54:48Z,1235,0,16038,1000,0,8874,8874,1.0,0,https://github.com/langchain-ai/langchain
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",Unknown,128361,32729,2025-03-05T16:38:29Z,2026-03-05T22:54:11Z,365,0,46,0,0,108,108,1.0,0,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
Chalarangelo/30-seconds-of-code,Chalarangelo,Coding articles to level up your development skills,JavaScript,126955,12442,2017-11-29T17:35:03Z,2026-03-05T22:40:04Z,3018,0,836,12,0,300,300,1.0,0,https://github.com/Chalarangelo/30-seconds-of-code
